成员, 贡献排行, 贡献本周, 战功本周, 助攻本周, 捐献本周, 贡献总量, 战功总量, 助攻总量, 捐献总量, 势力值, 所属州, 门阀
龙飞侠, 248, 3168515, 0, 350, 0, 3318533, 0, 350, 0, 7363, 荆州, 无门阀
宇雨, 251, 3111461, 0, 0, 0, 3111461, 0, 0, 0, 6270, 荆州, 无门阀
法师刘海柱, 207, 2897627, 0, 611, 0, 3247808, 0, 611, 0, 6163, 荆州, 无门阀
焱燚虎, 206, 2873576, 0, 288, 0, 2951884, 0, 288, 0, 7100, 荆州, 无门阀
程功学大师, 180, 2782473, 0, 1011, 0, 3210075, 0, 1011, 0, 6983, 荆州, 妖星
破阵丨徐凤年, 208, 2712225, 0, 272, 0, 2846964, 0, 272, 0, 4920, 荆州, 乱世妖星
云览星, 202, 2567324, 0, 418, 0, 2858276, 0, 418, 0, 8043, 荆州, 乱世先锋
红芍花开, 200, 2317048, 0, 410, 0, 3801909, 0, 410, 0, 8849, 荆州, 无门阀
普洱, 252, 2311683, 0, 0, 0, 2311683, 0, 0, 0, 6480, 荆州, 妖星
钟离雯, 198, 1860874, 0, 759, 0, 2043119, 0, 759, 0, 5862, 荆州, 无门阀
范若南, 176, 1715360, 0, 1521, 0, 2230904, 0, 1521, 0, 5540, 荆州, 玄甲军
峨眉山舞白蛇, 209, 1622007, 0, 202, 0, 2054932, 0, 202, 0, 5609, 荆州, 乱世先锋
乐游雪烨, 242, 1533549, 0, 0, 0, 1692324, 0, 0, 0, 4560, 荆州, 乱世先锋
老九大哥, 211, 1381499, 0, 174, 0, 1434356, 0, 174, 0, 5080, 荆州, 无门阀
荀铭晨, 116, 1374719, 0, 4649, 0, 1390919, 0, 4649, 0, 5320, 荆州, 无门阀
欧阳茆, 179, 1253139, 0, 1044, 0, 1523630, 0, 1044, 0, 3700, 荆州, 无门阀
帝丨天天橙, 205, 1133799, 0, 174, 0, 1898445, 0, 174, 0, 4200, 荆州, 无门阀
Q丨诸葛笑天, 181, 1058673, 0, 840, 0, 1058673, 0, 840, 0, 13180, 荆州, 无门阀
大叔叔, 174, 1041366, 0, 1224, 18119, 1106850, 0, 1224, 18119, 3353, 荆州, 无门阀
一片空白, 223, 1033482, 0, 0, 0, 1135965, 0, 0, 0, 5260, 荆州, 无门阀
胥喆, 226, 959149, 0, 0, 0, 1120153, 0, 0, 0, 3046, 荆州, 妖星
三国猛张飞, 237, 902678, 0, 0, 0, 1068990, 0, 0, 0, 3286, 荆州, 无门阀
迪马尔科, 157, 866793, 0, 0, 0, 866793, 0, 0, 0, 14160, 黄淮, 无门阀
林, 217, 808039, 0, 0, 0, 1126794, 0, 0, 0, 4783, 荆州, 妖星
云无羁, 199, 763908, 0, 410, 0, 878721, 0, 410, 0, 3400, 荆州, 无门阀
归丨虞毅君, 166, 704599, 0, 1396, 0, 720799, 0, 1396, 0, 1809, 荆州, 妖星
施棣, 201, 616553, 0, 596, 0, 616553, 0, 596, 0, 12883, 荆州, 无门阀
太叔完, 216, 608962, 0, 0, 0, 694154, 0, 0, 0, 1890, 荆州, 无门阀
虞美人丨暗香, 236, 468432, 0, 0, 0, 3135967, 0, 0, 0, 6970, 荆州, 妖星
材雄德茂, 225, 441192, 0, 0, 0, 604758, 0, 0, 0, 2666, 荆州, 无门阀
章北海, 231, 168857, 0, 0, 0, 237761, 0, 0, 0, 759, 荆州, 无门阀
席静慧, 215, 143134, 0, 350, 3089568, 191050, 0, 350, 3089568, 230, 荆州, 妖星
接着舞, 253, 140735, 0, 0, 0, 140735, 0, 0, 0, 1460, 荆州, 无门阀
太平道丨太和, 246, 135701, 0, 0, 0, 272476, 0, 0, 0, 1420, 荆州, 无门阀
渝丨君莫笑, 234, 123017, 0, 0, 0, 232189, 0, 0, 0, 986, 荆州, 无门阀
战魂丨雨潇潇, 195, 97551, 0, 474, 0, 1155029, 0, 474, 0, 3640, 荆州, 玄甲军
席曦丨澳特曼, 219, 74100, 0, 0, 0, 497190, 0, 0, 0, 1803, 荆州, 无门阀
夏丨沐月兰若, 244, 18729, 0, 0, 0, 18729, 0, 0, 0, 280, 荆州, 无门阀
上官大兵, 214, 13716, 0, 0, 0, 13716, 0, 0, 0, 286, 荆州, 无门阀
战歌丨冰淇淋, 239, 3288, 0, 0, 0, 3288, 0, 0, 0, 103, 荆州, 无门阀
夏阳皇关苟, 245, 0, 0, 0, 0, 244618, 0, 0, 0, 1620, 荆州, 乱世先锋
不滅, 227, 0, 0, 0, 0, 141694, 0, 0, 0, 723, 荆州, 无门阀
